,case,epoch,loss,val_loss,accuracy,val_accuracy,learning_rate,batch_size,optimizer,model
0,1,1,1.066,0.4316,0.7324,0.8894,0.01,32,sgd,LeNet5
1,1,2,0.7054,0.3538,0.8188,0.9064,0.01,32,sgd,LeNet5
2,1,3,0.5471,0.2999,0.8574,0.919,0.01,32,sgd,LeNet5
3,1,4,0.4516,0.2607,0.8813,0.9284,0.01,32,sgd,LeNet5
4,1,5,0.387,0.2321,0.8976,0.936,0.01,32,sgd,LeNet5
5,1,6,0.3403,0.2103,0.9095,0.9417,0.01,32,sgd,LeNet5
6,1,7,0.305,0.193,0.9186,0.9463,0.01,32,sgd,LeNet5
7,1,8,0.2773,0.1791,0.9258,0.9501,0.01,32,sgd,LeNet5
8,1,9,0.2549,0.1677,0.9316,0.9532,0.01,32,sgd,LeNet5
9,1,10,0.2363,0.1582,0.9364,0.9558,0.01,32,sgd,LeNet5
10,1,11,0.2207,0.15,0.9404,0.9581,0.01,32,sgd,LeNet5
11,1,12,0.2074,0.1428,0.9439,0.9601,0.01,32,sgd,LeNet5
12,1,13,0.1958,0.1366,0.947,0.9618,0.01,32,sgd,LeNet5
13,1,14,0.1856,0.1311,0.9496,0.9633,0.01,32,sgd,LeNet5
14,1,15,0.1767,0.1262,0.952,0.9646,0.01,32,sgd,LeNet5
15,1,16,0.1687,0.1218,0.9541,0.9658,0.01,32,sgd,LeNet5
16,1,17,0.1615,0.1178,0.956,0.9669,0.01,32,sgd,LeNet5
17,1,18,0.155,0.1142,0.9577,0.9679,0.01,32,sgd,LeNet5
18,1,19,0.1491,0.111,0.9593,0.9688,0.01,32,sgd,LeNet5
19,1,20,0.1437,0.1079,0.9607,0.9697,0.01,32,sgd,LeNet5
20,1,21,0.1387,0.1052,0.962,0.9704,0.01,32,sgd,LeNet5
21,1,22,0.1341,0.1026,0.9633,0.9712,0.01,32,sgd,LeNet5
22,1,23,0.1299,0.1003,0.9644,0.9718,0.01,32,sgd,LeNet5
23,1,24,0.1259,0.0981,0.9655,0.9724,0.01,32,sgd,LeNet5
24,1,25,0.1223,0.0961,0.9665,0.973,0.01,32,sgd,LeNet5
25,1,26,0.1188,0.0942,0.9674,0.9735,0.01,32,sgd,LeNet5
26,1,27,0.1156,0.0924,0.9683,0.974,0.01,32,sgd,LeNet5
27,1,28,0.1126,0.0907,0.9691,0.9744,0.01,32,sgd,LeNet5
28,1,29,0.1098,0.0892,0.9698,0.9749,0.01,32,sgd,LeNet5
29,1,30,0.1071,0.0876,0.9705,0.9753,0.01,32,sgd,LeNet5
30,1,31,0.1045,0.0862,0.9712,0.9757,0.01,32,sgd,LeNet5
31,1,32,0.1021,0.0849,0.9719,0.976,0.01,32,sgd,LeNet5
32,1,33,0.0998,0.0836,0.9725,0.9764,0.01,32,sgd,LeNet5
33,1,34,0.0977,0.0823,0.9731,0.9767,0.01,32,sgd,LeNet5
34,1,35,0.0956,0.0812,0.9736,0.977,0.01,32,sgd,LeNet5
35,1,36,0.0936,0.0801,0.9742,0.9773,0.01,32,sgd,LeNet5
36,1,37,0.0917,0.0791,0.9747,0.9776,0.01,32,sgd,LeNet5
37,1,38,0.0899,0.0782,0.9752,0.9779,0.01,32,sgd,LeNet5
38,1,39,0.0882,0.0772,0.9757,0.9782,0.01,32,sgd,LeNet5
39,1,40,0.0865,0.0763,0.9761,0.9784,0.01,32,sgd,LeNet5
40,1,41,0.0849,0.0754,0.9766,0.9787,0.01,32,sgd,LeNet5
41,1,42,0.0834,0.0746,0.977,0.9789,0.01,32,sgd,LeNet5
42,1,43,0.082,0.0738,0.9774,0.9791,0.01,32,sgd,LeNet5
43,1,44,0.0805,0.073,0.9778,0.9794,0.01,32,sgd,LeNet5
44,1,45,0.0792,0.0722,0.9782,0.9796,0.01,32,sgd,LeNet5
45,1,46,0.0779,0.0715,0.9785,0.9798,0.01,32,sgd,LeNet5
46,1,47,0.0766,0.0708,0.9789,0.98,0.01,32,sgd,LeNet5
47,1,48,0.0754,0.0701,0.9792,0.9802,0.01,32,sgd,LeNet5
48,1,49,0.0742,0.0695,0.9795,0.9804,0.01,32,sgd,LeNet5
49,1,50,0.073,0.0688,0.9799,0.9806,0.01,32,sgd,LeNet5
50,1,51,0.0719,0.0682,0.9802,0.9807,0.01,32,sgd,LeNet5
51,1,52,0.0709,0.0676,0.9805,0.9809,0.01,32,sgd,LeNet5
52,1,53,0.0698,0.0671,0.9808,0.9811,0.01,32,sgd,LeNet5
53,1,54,0.0688,0.0665,0.9811,0.9812,0.01,32,sgd,LeNet5
54,1,55,0.0678,0.066,0.9813,0.9814,0.01,32,sgd,LeNet5
