,case,epoch,loss,val_loss,accuracy,val_accuracy,learning_rate,batch_size,optimizer,model
0,1,1,0.4848,0.2221,0.8552,0.9362,0.05,64,sgd,MLPOne
1,1,2,0.3286,0.1908,0.9028,0.9445,0.05,64,sgd,MLPOne
2,1,3,0.2593,0.1679,0.9238,0.9509,0.05,64,sgd,MLPOne
3,1,4,0.2178,0.1527,0.9365,0.9551,0.05,64,sgd,MLPOne
4,1,5,0.1892,0.1415,0.945,0.9581,0.05,64,sgd,MLPOne
5,1,6,0.1679,0.1329,0.9514,0.9605,0.05,64,sgd,MLPOne
6,1,7,0.1513,0.1259,0.9564,0.9625,0.05,64,sgd,MLPOne
7,1,8,0.1378,0.1204,0.9604,0.964,0.05,64,sgd,MLPOne
8,1,9,0.1267,0.1158,0.9637,0.9654,0.05,64,sgd,MLPOne
9,1,10,0.1172,0.112,0.9666,0.9665,0.05,64,sgd,MLPOne
10,1,11,0.109,0.1089,0.9691,0.9673,0.05,64,sgd,MLPOne
11,1,12,0.1019,0.1061,0.9712,0.968,0.05,64,sgd,MLPOne
12,1,13,0.0956,0.1035,0.9732,0.9688,0.05,64,sgd,MLPOne
13,1,14,0.0901,0.1011,0.9749,0.9694,0.05,64,sgd,MLPOne
14,1,15,0.0851,0.0992,0.9764,0.97,0.05,64,sgd,MLPOne
15,1,16,0.0807,0.0975,0.9778,0.9705,0.05,64,sgd,MLPOne
16,1,17,0.0767,0.0959,0.979,0.9709,0.05,64,sgd,MLPOne
17,1,18,0.073,0.0945,0.9801,0.9713,0.05,64,sgd,MLPOne
18,1,19,0.0697,0.0933,0.9811,0.9717,0.05,64,sgd,MLPOne
19,1,20,0.0667,0.0921,0.982,0.972,0.05,64,sgd,MLPOne
20,1,21,0.0639,0.0912,0.9829,0.9723,0.05,64,sgd,MLPOne
21,1,22,0.0614,0.0902,0.9836,0.9726,0.05,64,sgd,MLPOne
22,1,23,0.059,0.0894,0.9843,0.9729,0.05,64,sgd,MLPOne
23,1,24,0.0568,0.0886,0.985,0.9731,0.05,64,sgd,MLPOne
24,1,25,0.0548,0.0879,0.9855,0.9733,0.05,64,sgd,MLPOne
25,1,26,0.0529,0.0872,0.9861,0.9735,0.05,64,sgd,MLPOne
26,1,27,0.0511,0.0866,0.9866,0.9737,0.05,64,sgd,MLPOne
27,1,28,0.0495,0.0861,0.9871,0.9739,0.05,64,sgd,MLPOne
28,1,29,0.048,0.0856,0.9875,0.9741,0.05,64,sgd,MLPOne
29,1,30,0.0465,0.0851,0.9879,0.9743,0.05,64,sgd,MLPOne
30,1,31,0.0451,0.0847,0.9883,0.9744,0.05,64,sgd,MLPOne
31,1,32,0.0439,0.0843,0.9887,0.9746,0.05,64,sgd,MLPOne
32,1,33,0.0427,0.0839,0.989,0.9747,0.05,64,sgd,MLPOne
33,1,34,0.0415,0.0836,0.9893,0.9748,0.05,64,sgd,MLPOne
34,1,35,0.0404,0.0833,0.9896,0.975,0.05,64,sgd,MLPOne
35,1,36,0.0394,0.083,0.9899,0.9751,0.05,64,sgd,MLPOne
36,1,37,0.0384,0.0827,0.9902,0.9752,0.05,64,sgd,MLPOne
37,1,38,0.0375,0.0824,0.9904,0.9753,0.05,64,sgd,MLPOne
38,1,39,0.0366,0.0822,0.9907,0.9754,0.05,64,sgd,MLPOne
39,1,40,0.0358,0.082,0.9909,0.9755,0.05,64,sgd,MLPOne
40,1,41,0.035,0.0817,0.9911,0.9756,0.05,64,sgd,MLPOne
41,1,42,0.0342,0.0815,0.9913,0.9756,0.05,64,sgd,MLPOne
42,1,43,0.0335,0.0814,0.9915,0.9757,0.05,64,sgd,MLPOne
43,1,44,0.0328,0.0812,0.9917,0.9758,0.05,64,sgd,MLPOne
44,1,45,0.0321,0.081,0.9919,0.9759,0.05,64,sgd,MLPOne
45,1,46,0.0314,0.0809,0.9921,0.9759,0.05,64,sgd,MLPOne
46,1,47,0.0308,0.0807,0.9923,0.976,0.05,64,sgd,MLPOne
47,1,48,0.0302,0.0806,0.9924,0.9761,0.05,64,sgd,MLPOne
48,1,49,0.0296,0.0805,0.9926,0.9761,0.05,64,sgd,MLPOne
49,1,50,0.0291,0.0803,0.9927,0.9762,0.05,64,sgd,MLPOne
