,case,epoch,loss,val_loss,accuracy,val_accuracy,learning_rate,batch_size,optimizer,model
0,1,1,0.8085,0.661,0.78,0.8352,0.04,64,sgd,MLPOne
1,1,2,0.7147,0.5471,0.8131,0.872,0.04,64,sgd,MLPOne
2,1,3,0.6031,0.4893,0.8551,0.8973,0.04,64,sgd,MLPOne
3,1,4,0.5382,0.4549,0.8806,0.9116,0.04,64,sgd,MLPOne
4,1,5,0.4952,0.4316,0.8973,0.9214,0.04,64,sgd,MLPOne
5,1,6,0.464,0.4155,0.9094,0.9275,0.04,64,sgd,MLPOne
6,1,7,0.4401,0.4022,0.9186,0.9329,0.04,64,sgd,MLPOne
7,1,8,0.421,0.3913,0.9259,0.9374,0.04,64,sgd,MLPOne
8,1,9,0.4052,0.3826,0.9319,0.9411,0.04,64,sgd,MLPOne
9,1,10,0.3921,0.3751,0.9369,0.9443,0.04,64,sgd,MLPOne
10,1,11,0.3808,0.3687,0.9412,0.9469,0.04,64,sgd,MLPOne
11,1,12,0.3711,0.3634,0.9449,0.9493,0.04,64,sgd,MLPOne
12,1,13,0.3625,0.3586,0.9482,0.9512,0.04,64,sgd,MLPOne
13,1,14,0.3549,0.3546,0.9511,0.9529,0.04,64,sgd,MLPOne
14,1,15,0.3482,0.3511,0.9537,0.9544,0.04,64,sgd,MLPOne
15,1,16,0.3421,0.3481,0.9561,0.9557,0.04,64,sgd,MLPOne
16,1,17,0.3366,0.3452,0.9582,0.9568,0.04,64,sgd,MLPOne
17,1,18,0.3316,0.3427,0.9601,0.9578,0.04,64,sgd,MLPOne
18,1,19,0.3271,0.3403,0.9618,0.9588,0.04,64,sgd,MLPOne
19,1,20,0.3229,0.3382,0.9634,0.9596,0.04,64,sgd,MLPOne
20,1,21,0.3191,0.3363,0.9649,0.9604,0.04,64,sgd,MLPOne
21,1,22,0.3155,0.3345,0.9662,0.9612,0.04,64,sgd,MLPOne
22,1,23,0.3123,0.3329,0.9675,0.9619,0.04,64,sgd,MLPOne
23,1,24,0.3092,0.3314,0.9686,0.9625,0.04,64,sgd,MLPOne
24,1,25,0.3064,0.3301,0.9697,0.9631,0.04,64,sgd,MLPOne
25,1,26,0.3038,0.3287,0.9707,0.9637,0.04,64,sgd,MLPOne
26,1,27,0.3013,0.3276,0.9716,0.9641,0.04,64,sgd,MLPOne
27,1,28,0.299,0.3265,0.9725,0.9646,0.04,64,sgd,MLPOne
28,1,29,0.2968,0.3255,0.9733,0.9651,0.04,64,sgd,MLPOne
29,1,30,0.2948,0.3246,0.9741,0.9655,0.04,64,sgd,MLPOne
30,1,31,0.2928,0.3237,0.9748,0.9659,0.04,64,sgd,MLPOne
31,1,32,0.291,0.3228,0.9754,0.9662,0.04,64,sgd,MLPOne
32,1,33,0.2893,0.322,0.9761,0.9666,0.04,64,sgd,MLPOne
33,1,34,0.2877,0.3213,0.9767,0.9669,0.04,64,sgd,MLPOne
34,1,35,0.2861,0.3206,0.9773,0.9672,0.04,64,sgd,MLPOne
35,1,36,0.2847,0.32,0.9778,0.9675,0.04,64,sgd,MLPOne
36,1,37,0.2833,0.3194,0.9783,0.9678,0.04,64,sgd,MLPOne
37,1,38,0.282,0.3188,0.9788,0.968,0.04,64,sgd,MLPOne
38,1,39,0.2807,0.3183,0.9793,0.9683,0.04,64,sgd,MLPOne
39,1,40,0.2795,0.3178,0.9797,0.9685,0.04,64,sgd,MLPOne
40,1,41,0.2784,0.3173,0.9801,0.9687,0.04,64,sgd,MLPOne
41,1,42,0.2773,0.3168,0.9805,0.9689,0.04,64,sgd,MLPOne
42,1,43,0.2762,0.3164,0.9809,0.9691,0.04,64,sgd,MLPOne
43,1,44,0.2752,0.316,0.9813,0.9693,0.04,64,sgd,MLPOne
44,1,45,0.2743,0.3156,0.9816,0.9695,0.04,64,sgd,MLPOne
45,1,46,0.2733,0.3152,0.982,0.9697,0.04,64,sgd,MLPOne
46,1,47,0.2725,0.3149,0.9823,0.9698,0.04,64,sgd,MLPOne
47,1,48,0.2716,0.3146,0.9826,0.97,0.04,64,sgd,MLPOne
48,1,49,0.2708,0.3143,0.9829,0.9702,0.04,64,sgd,MLPOne
49,1,50,0.27,0.314,0.9832,0.9703,0.04,64,sgd,MLPOne
