,run,epoch,loss,valLoss,accuracy,accuracy_val,lr,batch_size,optim
0,1,1,0.08792904516061147,0.10911684421201547,0.9747708333333334,0.9673333333333334,0.01,1000,sgd
1,1,2,0.07790740299969912,0.1029983963817358,0.9777916666666666,0.9683333333333334,0.01,1000,sgd
2,1,3,0.07349775009788573,0.09979338012635708,0.9792083333333333,0.97,0.01,1000,sgd
3,1,4,0.07092999899759889,0.09775805845856667,0.9798125,0.9709166666666667,0.01,1000,sgd
4,1,5,0.06916861073113978,0.0962889368335406,0.980375,0.97125,0.01,1000,sgd
5,2,1,0.6738431704385827,0.1442565731704235,0.8881041666666667,0.9565,0.01,1000,adam
6,2,2,0.10328614184012015,0.11212775049110253,0.9692916666666667,0.9664166666666667,0.01,1000,adam
7,2,3,0.07160393715215226,0.10384812951087952,0.9782916666666667,0.9683333333333334,0.01,1000,adam
8,2,4,0.054891660421465836,0.10123854006330173,0.9835833333333334,0.9696666666666667,0.01,1000,adam
9,2,5,0.04213799823385974,0.09801195189356804,0.9880208333333333,0.9704166666666667,0.01,1000,adam
