,case,epoch,loss,val_loss,accuracy,val_accuracy,learning_rate,batch_size,optimizer,model
0,1,1,0.4214,0.2133,0.8818,0.9351,0.05,64,sgd,MLPTwo
1,1,2,0.2908,0.1797,0.9176,0.9446,0.05,64,sgd,MLPTwo
2,1,3,0.2298,0.1577,0.9346,0.9514,0.05,64,sgd,MLPTwo
3,1,4,0.1923,0.1429,0.9449,0.9559,0.05,64,sgd,MLPTwo
4,1,5,0.1662,0.1312,0.9522,0.9595,0.05,64,sgd,MLPTwo
5,1,6,0.1467,0.1237,0.9578,0.9617,0.05,64,sgd,MLPTwo
6,1,7,0.1312,0.1171,0.9622,0.9639,0.05,64,sgd,MLPTwo
7,1,8,0.1186,0.1122,0.9659,0.9654,0.05,64,sgd,MLPTwo
8,1,9,0.108,0.1083,0.969,0.9668,0.05,64,sgd,MLPTwo
9,1,10,0.0991,0.1053,0.9717,0.9678,0.05,64,sgd,MLPTwo
10,1,11,0.0914,0.1026,0.974,0.9688,0.05,64,sgd,MLPTwo
11,1,12,0.0847,0.1004,0.976,0.9696,0.05,64,sgd,MLPTwo
12,1,13,0.0789,0.0985,0.9778,0.9703,0.05,64,sgd,MLPTwo
13,1,14,0.0738,0.097,0.9793,0.9708,0.05,64,sgd,MLPTwo
14,1,15,0.0692,0.0956,0.9806,0.9714,0.05,64,sgd,MLPTwo
15,1,16,0.0652,0.0944,0.9818,0.9719,0.05,64,sgd,MLPTwo
16,1,17,0.0616,0.0933,0.9829,0.9724,0.05,64,sgd,MLPTwo
17,1,18,0.0584,0.0923,0.9838,0.9728,0.05,64,sgd,MLPTwo
18,1,19,0.0555,0.0916,0.9847,0.9732,0.05,64,sgd,MLPTwo
19,1,20,0.0529,0.0909,0.9854,0.9735,0.05,64,sgd,MLPTwo
20,1,21,0.0505,0.0904,0.9861,0.9738,0.05,64,sgd,MLPTwo
21,1,22,0.0483,0.0899,0.9867,0.9741,0.05,64,sgd,MLPTwo
22,1,23,0.0463,0.0894,0.9873,0.9743,0.05,64,sgd,MLPTwo
23,1,24,0.0444,0.0891,0.9878,0.9746,0.05,64,sgd,MLPTwo
24,1,25,0.0427,0.0887,0.9883,0.9748,0.05,64,sgd,MLPTwo
25,1,26,0.0412,0.0885,0.9888,0.975,0.05,64,sgd,MLPTwo
26,1,27,0.0397,0.0882,0.9892,0.9752,0.05,64,sgd,MLPTwo
27,1,28,0.0383,0.088,0.9895,0.9754,0.05,64,sgd,MLPTwo
28,1,29,0.0371,0.0878,0.9899,0.9756,0.05,64,sgd,MLPTwo
29,1,30,0.0359,0.0877,0.9902,0.9757,0.05,64,sgd,MLPTwo
30,1,31,0.0348,0.0875,0.9906,0.9759,0.05,64,sgd,MLPTwo
31,1,32,0.0337,0.0874,0.9908,0.976,0.05,64,sgd,MLPTwo
32,1,33,0.0327,0.0873,0.9911,0.9761,0.05,64,sgd,MLPTwo
33,1,34,0.0318,0.0872,0.9914,0.9763,0.05,64,sgd,MLPTwo
34,1,35,0.0309,0.0871,0.9916,0.9764,0.05,64,sgd,MLPTwo
35,1,36,0.0301,0.0871,0.9919,0.9765,0.05,64,sgd,MLPTwo
36,1,37,0.0293,0.087,0.9921,0.9766,0.05,64,sgd,MLPTwo
37,1,38,0.0286,0.087,0.9923,0.9767,0.05,64,sgd,MLPTwo
38,1,39,0.0279,0.087,0.9925,0.9768,0.05,64,sgd,MLPTwo
39,1,40,0.0272,0.0869,0.9927,0.977,0.05,64,sgd,MLPTwo
40,1,41,0.0265,0.0869,0.9928,0.9771,0.05,64,sgd,MLPTwo
41,1,42,0.0259,0.0869,0.993,0.9772,0.05,64,sgd,MLPTwo
42,1,43,0.0253,0.0869,0.9932,0.9772,0.05,64,sgd,MLPTwo
43,1,44,0.0248,0.0869,0.9933,0.9773,0.05,64,sgd,MLPTwo
44,1,45,0.0243,0.0869,0.9935,0.9774,0.05,64,sgd,MLPTwo
45,1,46,0.0237,0.0869,0.9936,0.9775,0.05,64,sgd,MLPTwo
46,1,47,0.0233,0.087,0.9937,0.9776,0.05,64,sgd,MLPTwo
47,1,48,0.0228,0.087,0.9939,0.9776,0.05,64,sgd,MLPTwo
48,1,49,0.0223,0.087,0.994,0.9777,0.05,64,sgd,MLPTwo
49,1,50,0.0219,0.0871,0.9941,0.9778,0.05,64,sgd,MLPTwo
50,1,51,0.0215,0.0871,0.9942,0.9778,0.05,64,sgd,MLPTwo
51,1,52,0.0211,0.0871,0.9943,0.9779,0.05,64,sgd,MLPTwo
