,epoch,loss,val_loss,accuracy,val_accuracy,learning_rate,batch_size
0,1,0.4411,0.182,0.8686,0.9447,0.07,64
1,2,0.2879,0.1502,0.9141,0.9535,0.07,64
2,3,0.2211,0.1318,0.934,0.9589,0.07,64
3,4,0.1816,0.1216,0.9459,0.9621,0.07,64
4,5,0.1545,0.1133,0.9541,0.9648,0.07,64
5,6,0.1344,0.1075,0.9602,0.9666,0.07,64
6,7,0.1189,0.1039,0.9649,0.9678,0.07,64
7,8,0.1063,0.1004,0.9687,0.969,0.07,64
8,9,0.096,0.0991,0.9718,0.9697,0.07,64
9,10,0.0874,0.097,0.9745,0.9705,0.07,64
10,11,0.0801,0.0954,0.9767,0.9711,0.07,64
11,12,0.0739,0.0938,0.9786,0.9718,0.07,64
12,13,0.0685,0.0924,0.9803,0.9723,0.07,64
13,14,0.0638,0.0914,0.9817,0.9728,0.07,64
14,15,0.0598,0.0905,0.9829,0.9733,0.07,64
15,16,0.0562,0.0897,0.9839,0.9737,0.07,64
16,17,0.053,0.0891,0.9849,0.974,0.07,64
17,18,0.0502,0.0886,0.9857,0.9743,0.07,64
18,19,0.0476,0.0882,0.9865,0.9746,0.07,64
19,20,0.0453,0.0878,0.9871,0.9749,0.07,64
20,21,0.0432,0.0875,0.9877,0.9751,0.07,64
21,22,0.0413,0.0873,0.9883,0.9753,0.07,64
22,23,0.0396,0.0871,0.9888,0.9755,0.07,64
23,24,0.038,0.0869,0.9893,0.9757,0.07,64
24,25,0.0365,0.0867,0.9897,0.9758,0.07,64
25,26,0.0352,0.0866,0.9901,0.976,0.07,64
26,27,0.0339,0.0866,0.9904,0.9761,0.07,64
27,28,0.0327,0.0865,0.9908,0.9762,0.07,64
28,29,0.0316,0.0865,0.9911,0.9764,0.07,64
29,30,0.0306,0.0864,0.9914,0.9765,0.07,64
30,31,0.0296,0.0864,0.9917,0.9766,0.07,64
31,32,0.0287,0.0864,0.9919,0.9767,0.07,64
32,33,0.0279,0.0864,0.9922,0.9768,0.07,64
33,34,0.0271,0.0864,0.9924,0.9768,0.07,64
34,35,0.0263,0.0865,0.9926,0.9769,0.07,64
35,36,0.0256,0.0865,0.9928,0.977,0.07,64
36,37,0.0249,0.0866,0.993,0.977,0.07,64
37,38,0.0243,0.0866,0.9932,0.9771,0.07,64
38,39,0.0237,0.0867,0.9934,0.9772,0.07,64
39,40,0.0231,0.0867,0.9935,0.9772,0.07,64
40,41,0.0226,0.0868,0.9937,0.9773,0.07,64
41,42,0.022,0.0868,0.9938,0.9773,0.07,64
42,43,0.0215,0.0869,0.994,0.9774,0.07,64
43,44,0.0211,0.087,0.9941,0.9774,0.07,64
44,45,0.0206,0.0871,0.9942,0.9775,0.07,64
45,46,0.0202,0.0871,0.9944,0.9775,0.07,64
46,47,0.0198,0.0872,0.9945,0.9776,0.07,64
47,48,0.0194,0.0873,0.9946,0.9776,0.07,64
48,49,0.019,0.0874,0.9947,0.9777,0.07,64
49,50,0.0186,0.0875,0.9948,0.9777,0.07,64
50,51,0.0182,0.0875,0.9949,0.9777,0.07,64
51,52,0.0179,0.0876,0.995,0.9778,0.07,64
52,53,0.0176,0.0877,0.9951,0.9778,0.07,64
53,54,0.0172,0.0878,0.9952,0.9778,0.07,64
54,55,0.0169,0.0879,0.9953,0.9779,0.07,64
55,56,0.0166,0.088,0.9954,0.9779,0.07,64
56,57,0.0164,0.0881,0.9954,0.9779,0.07,64
57,58,0.0161,0.0882,0.9955,0.978,0.07,64
58,59,0.0158,0.0883,0.9956,0.978,0.07,64
59,60,0.0156,0.0884,0.9957,0.978,0.07,64
60,61,0.0153,0.0884,0.9957,0.9781,0.07,64
61,62,0.0151,0.0885,0.9958,0.9781,0.07,64
62,63,0.0148,0.0886,0.9959,0.9781,0.07,64
63,64,0.0146,0.0887,0.9959,0.9781,0.07,64
64,65,0.0144,0.0888,0.996,0.9782,0.07,64
65,66,0.0142,0.0889,0.996,0.9782,0.07,64
66,67,0.014,0.089,0.9961,0.9782,0.07,64
67,68,0.0138,0.0891,0.9962,0.9782,0.07,64
68,69,0.0136,0.0892,0.9962,0.9782,0.07,64
69,70,0.0134,0.0893,0.9963,0.9783,0.07,64
70,71,0.0132,0.0894,0.9963,0.9783,0.07,64
71,72,0.013,0.0895,0.9964,0.9783,0.07,64
72,73,0.0128,0.0896,0.9964,0.9783,0.07,64
73,74,0.0127,0.0897,0.9965,0.9783,0.07,64
74,75,0.0125,0.0898,0.9965,0.9784,0.07,64
75,76,0.0123,0.0899,0.9966,0.9784,0.07,64
76,77,0.0122,0.09,0.9966,0.9784,0.07,64
77,78,0.012,0.09,0.9966,0.9784,0.07,64
78,79,0.0119,0.0901,0.9967,0.9784,0.07,64
79,80,0.0117,0.0902,0.9967,0.9784,0.07,64
