,case,epoch,loss,val_loss,accuracy,val_accuracy,learning_rate,batch_size,optimizer,model
0,1,1,0.3752,0.3197,0.8918,0.9102,0.05,64,sgd,MLPZero
1,1,2,0.3389,0.311,0.9032,0.9129,0.05,64,sgd,MLPZero
2,1,3,0.3229,0.3092,0.9082,0.9131,0.05,64,sgd,MLPZero
3,1,4,0.3128,0.3058,0.911,0.9138,0.05,64,sgd,MLPZero
4,1,5,0.3059,0.3047,0.9131,0.9142,0.05,64,sgd,MLPZero
5,1,6,0.3006,0.3037,0.9146,0.9147,0.05,64,sgd,MLPZero
6,1,7,0.2962,0.3029,0.916,0.915,0.05,64,sgd,MLPZero
7,1,8,0.2926,0.3015,0.9171,0.9152,0.05,64,sgd,MLPZero
8,1,9,0.2896,0.3007,0.918,0.9154,0.05,64,sgd,MLPZero
9,1,10,0.2869,0.2997,0.9189,0.9156,0.05,64,sgd,MLPZero
10,1,11,0.2846,0.2992,0.9196,0.9159,0.05,64,sgd,MLPZero
11,1,12,0.2825,0.2993,0.9203,0.9162,0.05,64,sgd,MLPZero
12,1,13,0.2807,0.299,0.9209,0.9164,0.05,64,sgd,MLPZero
13,1,14,0.2791,0.2993,0.9213,0.9164,0.05,64,sgd,MLPZero
14,1,15,0.2776,0.2989,0.9218,0.9164,0.05,64,sgd,MLPZero
15,1,16,0.2762,0.299,0.9222,0.9166,0.05,64,sgd,MLPZero
16,1,17,0.2749,0.2988,0.9226,0.9166,0.05,64,sgd,MLPZero
17,1,18,0.2737,0.2987,0.9229,0.9166,0.05,64,sgd,MLPZero
18,1,19,0.2726,0.2986,0.9233,0.9167,0.05,64,sgd,MLPZero
19,1,20,0.2715,0.2986,0.9236,0.9168,0.05,64,sgd,MLPZero
20,1,21,0.2705,0.2987,0.9239,0.9168,0.05,64,sgd,MLPZero
21,1,22,0.2696,0.2986,0.9242,0.9169,0.05,64,sgd,MLPZero
22,1,23,0.2687,0.299,0.9244,0.9168,0.05,64,sgd,MLPZero
23,1,24,0.2678,0.299,0.9246,0.9168,0.05,64,sgd,MLPZero
24,1,25,0.2671,0.2989,0.9248,0.9169,0.05,64,sgd,MLPZero
25,1,26,0.2663,0.2991,0.9251,0.9168,0.05,64,sgd,MLPZero
26,1,27,0.2656,0.2991,0.9253,0.9169,0.05,64,sgd,MLPZero
27,1,28,0.2649,0.2992,0.9254,0.917,0.05,64,sgd,MLPZero
28,1,29,0.2643,0.2994,0.9256,0.917,0.05,64,sgd,MLPZero
29,1,30,0.2636,0.2996,0.9258,0.917,0.05,64,sgd,MLPZero
30,1,31,0.263,0.2997,0.926,0.917,0.05,64,sgd,MLPZero
31,1,32,0.2625,0.3,0.9261,0.917,0.05,64,sgd,MLPZero
32,1,33,0.2619,0.3001,0.9263,0.917,0.05,64,sgd,MLPZero
