,case,epoch,loss,val_loss,accuracy,val_accuracy,learning_rate,batch_size,optimizer,model
0,1,1,0.385,0.3122,0.8888,0.9104,0.1,64,sgd,MLPZero
1,1,2,0.3515,0.3084,0.8995,0.9128,0.1,64,sgd,MLPZero
2,1,3,0.3363,0.304,0.9042,0.9151,0.1,64,sgd,MLPZero
3,1,4,0.3271,0.303,0.9072,0.9162,0.1,64,sgd,MLPZero
4,1,5,0.3203,0.304,0.9094,0.9156,0.1,64,sgd,MLPZero
5,1,6,0.315,0.3058,0.9111,0.9153,0.1,64,sgd,MLPZero
6,1,7,0.3107,0.3051,0.9122,0.9156,0.1,64,sgd,MLPZero
7,1,8,0.3075,0.3064,0.9132,0.9155,0.1,64,sgd,MLPZero
8,1,9,0.3046,0.307,0.9141,0.9151,0.1,64,sgd,MLPZero
9,1,10,0.3021,0.3074,0.9148,0.9152,0.1,64,sgd,MLPZero
10,1,11,0.3,0.3077,0.9155,0.9151,0.1,64,sgd,MLPZero
11,1,12,0.298,0.3085,0.9161,0.915,0.1,64,sgd,MLPZero
12,1,13,0.2965,0.3077,0.9166,0.9151,0.1,64,sgd,MLPZero
13,1,14,0.295,0.3087,0.917,0.9149,0.1,64,sgd,MLPZero
14,1,15,0.2935,0.3086,0.9174,0.9151,0.1,64,sgd,MLPZero
15,1,16,0.2922,0.3085,0.9178,0.9152,0.1,64,sgd,MLPZero
16,1,17,0.291,0.3083,0.9181,0.9152,0.1,64,sgd,MLPZero
17,1,18,0.2899,0.3085,0.9184,0.9152,0.1,64,sgd,MLPZero
18,1,19,0.2888,0.3086,0.9187,0.9152,0.1,64,sgd,MLPZero
19,1,20,0.2878,0.3081,0.919,0.9155,0.1,64,sgd,MLPZero
20,1,21,0.2869,0.3089,0.9192,0.9153,0.1,64,sgd,MLPZero
21,1,22,0.286,0.3095,0.9195,0.9152,0.1,64,sgd,MLPZero
22,1,23,0.2852,0.3103,0.9197,0.9149,0.1,64,sgd,MLPZero
23,1,24,0.2843,0.3111,0.9199,0.9147,0.1,64,sgd,MLPZero
24,1,25,0.2837,0.3113,0.9201,0.9147,0.1,64,sgd,MLPZero
25,1,26,0.2829,0.311,0.9203,0.9149,0.1,64,sgd,MLPZero
26,1,27,0.2823,0.3112,0.9205,0.9149,0.1,64,sgd,MLPZero
27,1,28,0.2817,0.3117,0.9206,0.9149,0.1,64,sgd,MLPZero
28,1,29,0.2811,0.3122,0.9208,0.9148,0.1,64,sgd,MLPZero
29,1,30,0.2805,0.3122,0.9209,0.9149,0.1,64,sgd,MLPZero
30,1,31,0.2799,0.3123,0.9211,0.9149,0.1,64,sgd,MLPZero
31,1,32,0.2793,0.3124,0.9213,0.915,0.1,64,sgd,MLPZero
32,1,33,0.2788,0.3126,0.9214,0.9149,0.1,64,sgd,MLPZero
33,1,34,0.2783,0.3132,0.9215,0.9147,0.1,64,sgd,MLPZero
34,1,35,0.2779,0.314,0.9217,0.9145,0.1,64,sgd,MLPZero
35,1,36,0.2774,0.3145,0.9218,0.9144,0.1,64,sgd,MLPZero
36,1,37,0.277,0.3153,0.9219,0.9142,0.1,64,sgd,MLPZero
