,case,epoch,loss,val_loss,accuracy,val_accuracy,learning_rate,batch_size,optimizer,model
0,1,1,0.6122,0.3182,0.7963,0.9091,0.05,64,sgd,MLPZeroReLu
1,1,2,0.4602,0.3029,0.8541,0.9127,0.05,64,sgd,MLPZeroReLu
2,1,3,0.4035,0.2953,0.8752,0.9155,0.05,64,sgd,MLPZeroReLu
3,1,4,0.3725,0.2896,0.8866,0.9172,0.05,64,sgd,MLPZeroReLu
4,1,5,0.3525,0.2862,0.8938,0.9183,0.05,64,sgd,MLPZeroReLu
5,1,6,0.3384,0.2832,0.8988,0.9195,0.05,64,sgd,MLPZeroReLu
6,1,7,0.3277,0.2812,0.9026,0.9203,0.05,64,sgd,MLPZeroReLu
7,1,8,0.3191,0.2796,0.9056,0.9207,0.05,64,sgd,MLPZeroReLu
8,1,9,0.3122,0.2786,0.9079,0.9211,0.05,64,sgd,MLPZeroReLu
9,1,10,0.3065,0.2774,0.9099,0.9215,0.05,64,sgd,MLPZeroReLu
10,1,11,0.3016,0.276,0.9116,0.9218,0.05,64,sgd,MLPZeroReLu
11,1,12,0.2973,0.2749,0.9131,0.9222,0.05,64,sgd,MLPZeroReLu
12,1,13,0.2936,0.2746,0.9143,0.9222,0.05,64,sgd,MLPZeroReLu
13,1,14,0.2903,0.274,0.9154,0.9224,0.05,64,sgd,MLPZeroReLu
14,1,15,0.2873,0.2735,0.9163,0.9225,0.05,64,sgd,MLPZeroReLu
15,1,16,0.2846,0.2733,0.9172,0.9225,0.05,64,sgd,MLPZeroReLu
16,1,17,0.2821,0.2729,0.918,0.9226,0.05,64,sgd,MLPZeroReLu
17,1,18,0.2799,0.2726,0.9187,0.9227,0.05,64,sgd,MLPZeroReLu
18,1,19,0.2779,0.2724,0.9194,0.9228,0.05,64,sgd,MLPZeroReLu
19,1,20,0.276,0.2721,0.92,0.9228,0.05,64,sgd,MLPZeroReLu
20,1,21,0.2742,0.2721,0.9206,0.9228,0.05,64,sgd,MLPZeroReLu
21,1,22,0.2725,0.2719,0.9212,0.9228,0.05,64,sgd,MLPZeroReLu
22,1,23,0.271,0.2718,0.9217,0.9228,0.05,64,sgd,MLPZeroReLu
