,case,epoch,loss,val_loss,accuracy,val_accuracy,learning_rate,batch_size,optimizer,model
0,1,1,0.4088,0.3333,0.885,0.9015,0.05,128,sgd,MLPZero
1,1,2,0.3594,0.3236,0.8981,0.9066,0.05,128,sgd,MLPZero
2,1,3,0.3375,0.3179,0.9042,0.9088,0.05,128,sgd,MLPZero
3,1,4,0.3242,0.315,0.908,0.9103,0.05,128,sgd,MLPZero
4,1,5,0.315,0.3131,0.9107,0.9114,0.05,128,sgd,MLPZero
5,1,6,0.3083,0.3108,0.9127,0.9122,0.05,128,sgd,MLPZero
6,1,7,0.3029,0.3091,0.9143,0.9129,0.05,128,sgd,MLPZero
7,1,8,0.2985,0.3076,0.9155,0.9134,0.05,128,sgd,MLPZero
8,1,9,0.2947,0.3068,0.9167,0.9137,0.05,128,sgd,MLPZero
9,1,10,0.2915,0.3065,0.9176,0.9141,0.05,128,sgd,MLPZero
10,1,11,0.2887,0.3058,0.9185,0.9145,0.05,128,sgd,MLPZero
11,1,12,0.2862,0.3052,0.9193,0.9148,0.05,128,sgd,MLPZero
12,1,13,0.284,0.3045,0.9199,0.9152,0.05,128,sgd,MLPZero
13,1,14,0.282,0.3043,0.9206,0.9154,0.05,128,sgd,MLPZero
14,1,15,0.2802,0.304,0.9211,0.9157,0.05,128,sgd,MLPZero
15,1,16,0.2785,0.3036,0.9217,0.9158,0.05,128,sgd,MLPZero
16,1,17,0.277,0.3034,0.9221,0.916,0.05,128,sgd,MLPZero
17,1,18,0.2755,0.3032,0.9225,0.9163,0.05,128,sgd,MLPZero
18,1,19,0.2742,0.3028,0.9229,0.9165,0.05,128,sgd,MLPZero
19,1,20,0.273,0.3026,0.9233,0.9167,0.05,128,sgd,MLPZero
20,1,21,0.2718,0.3024,0.9237,0.9169,0.05,128,sgd,MLPZero
21,1,22,0.2707,0.3023,0.924,0.917,0.05,128,sgd,MLPZero
22,1,23,0.2697,0.3023,0.9243,0.917,0.05,128,sgd,MLPZero
23,1,24,0.2687,0.3022,0.9247,0.9171,0.05,128,sgd,MLPZero
24,1,25,0.2678,0.3021,0.9249,0.9172,0.05,128,sgd,MLPZero
25,1,26,0.2669,0.3021,0.9252,0.9174,0.05,128,sgd,MLPZero
26,1,27,0.266,0.302,0.9254,0.9175,0.05,128,sgd,MLPZero
27,1,28,0.2653,0.3019,0.9257,0.9175,0.05,128,sgd,MLPZero
28,1,29,0.2645,0.3018,0.9259,0.9176,0.05,128,sgd,MLPZero
29,1,30,0.2638,0.3018,0.9261,0.9178,0.05,128,sgd,MLPZero
30,1,31,0.2631,0.3017,0.9263,0.9178,0.05,128,sgd,MLPZero
31,1,32,0.2624,0.3017,0.9265,0.9179,0.05,128,sgd,MLPZero
32,1,33,0.2617,0.3018,0.9268,0.9179,0.05,128,sgd,MLPZero
33,1,34,0.2611,0.3018,0.9269,0.918,0.05,128,sgd,MLPZero
34,1,35,0.2605,0.3017,0.9271,0.9181,0.05,128,sgd,MLPZero
35,1,36,0.26,0.3017,0.9273,0.9181,0.05,128,sgd,MLPZero
36,1,37,0.2594,0.3017,0.9275,0.9182,0.05,128,sgd,MLPZero
37,1,38,0.2589,0.3018,0.9276,0.9182,0.05,128,sgd,MLPZero
38,1,39,0.2583,0.3018,0.9278,0.9183,0.05,128,sgd,MLPZero
39,1,40,0.2578,0.3018,0.9279,0.9183,0.05,128,sgd,MLPZero
40,1,41,0.2574,0.302,0.9281,0.9183,0.05,128,sgd,MLPZero
41,1,42,0.2569,0.302,0.9282,0.9183,0.05,128,sgd,MLPZero
42,1,43,0.2564,0.3021,0.9283,0.9184,0.05,128,sgd,MLPZero
43,1,44,0.256,0.3021,0.9285,0.9184,0.05,128,sgd,MLPZero
44,1,45,0.2555,0.3021,0.9286,0.9185,0.05,128,sgd,MLPZero
45,1,46,0.2551,0.3022,0.9287,0.9185,0.05,128,sgd,MLPZero
46,1,47,0.2547,0.3022,0.9289,0.9185,0.05,128,sgd,MLPZero
47,1,48,0.2543,0.3023,0.929,0.9185,0.05,128,sgd,MLPZero
48,1,49,0.2539,0.3024,0.9291,0.9186,0.05,128,sgd,MLPZero
49,1,50,0.2535,0.3024,0.9292,0.9186,0.05,128,sgd,MLPZero
50,1,51,0.2532,0.3025,0.9293,0.9186,0.05,128,sgd,MLPZero
51,1,52,0.2528,0.3026,0.9294,0.9186,0.05,128,sgd,MLPZero
52,1,53,0.2525,0.3027,0.9295,0.9186,0.05,128,sgd,MLPZero
53,1,54,0.2521,0.3027,0.9296,0.9186,0.05,128,sgd,MLPZero
