,case,epoch,loss,val_loss,accuracy,val_accuracy,learning_rate,batch_size,optimizer,model
0,1,1,0.3837,0.314,0.8906,0.9114,0.02,32,sgd,MLPZero
1,1,2,0.3447,0.3044,0.9013,0.9141,0.02,32,sgd,MLPZero
2,1,3,0.3274,0.3008,0.9064,0.9142,0.02,32,sgd,MLPZero
3,1,4,0.3168,0.2993,0.9099,0.9151,0.02,32,sgd,MLPZero
4,1,5,0.3093,0.2958,0.9123,0.9159,0.02,32,sgd,MLPZero
5,1,6,0.3037,0.2938,0.9139,0.9166,0.02,32,sgd,MLPZero
6,1,7,0.2991,0.2923,0.9153,0.9169,0.02,32,sgd,MLPZero
7,1,8,0.2955,0.2915,0.9164,0.9174,0.02,32,sgd,MLPZero
8,1,9,0.2924,0.2904,0.9174,0.9177,0.02,32,sgd,MLPZero
9,1,10,0.2896,0.2898,0.9183,0.9181,0.02,32,sgd,MLPZero
10,1,11,0.2872,0.2894,0.9191,0.9181,0.02,32,sgd,MLPZero
11,1,12,0.2851,0.289,0.9198,0.9182,0.02,32,sgd,MLPZero
12,1,13,0.2832,0.288,0.9203,0.9185,0.02,32,sgd,MLPZero
13,1,14,0.2814,0.2875,0.9208,0.9186,0.02,32,sgd,MLPZero
14,1,15,0.2798,0.287,0.9213,0.9188,0.02,32,sgd,MLPZero
15,1,16,0.2784,0.2867,0.9217,0.9189,0.02,32,sgd,MLPZero
16,1,17,0.2771,0.2863,0.9221,0.9191,0.02,32,sgd,MLPZero
17,1,18,0.2759,0.2859,0.9225,0.9193,0.02,32,sgd,MLPZero
18,1,19,0.2747,0.2856,0.9228,0.9193,0.02,32,sgd,MLPZero
19,1,20,0.2736,0.2853,0.9231,0.9193,0.02,32,sgd,MLPZero
20,1,21,0.2726,0.2853,0.9234,0.9194,0.02,32,sgd,MLPZero
21,1,22,0.2717,0.2851,0.9237,0.9196,0.02,32,sgd,MLPZero
22,1,23,0.2708,0.285,0.924,0.9196,0.02,32,sgd,MLPZero
23,1,24,0.2699,0.2847,0.9242,0.9197,0.02,32,sgd,MLPZero
24,1,25,0.2691,0.2848,0.9244,0.9197,0.02,32,sgd,MLPZero
25,1,26,0.2684,0.2848,0.9247,0.9198,0.02,32,sgd,MLPZero
26,1,27,0.2676,0.2847,0.9249,0.9198,0.02,32,sgd,MLPZero
27,1,28,0.2669,0.2847,0.9251,0.9199,0.02,32,sgd,MLPZero
28,1,29,0.2662,0.2846,0.9253,0.9199,0.02,32,sgd,MLPZero
29,1,30,0.2656,0.2845,0.9255,0.9199,0.02,32,sgd,MLPZero
30,1,31,0.265,0.2846,0.9257,0.9199,0.02,32,sgd,MLPZero
31,1,32,0.2644,0.2846,0.9258,0.9198,0.02,32,sgd,MLPZero
32,1,33,0.2638,0.2847,0.926,0.9198,0.02,32,sgd,MLPZero
33,1,34,0.2633,0.2846,0.9262,0.9198,0.02,32,sgd,MLPZero
34,1,35,0.2628,0.2846,0.9263,0.9198,0.02,32,sgd,MLPZero
35,1,36,0.2622,0.2846,0.9265,0.9198,0.02,32,sgd,MLPZero
36,1,37,0.2617,0.2847,0.9266,0.9198,0.02,32,sgd,MLPZero
37,1,38,0.2613,0.2847,0.9267,0.9198,0.02,32,sgd,MLPZero
38,1,39,0.2608,0.2847,0.9269,0.9198,0.02,32,sgd,MLPZero
39,1,40,0.2604,0.2846,0.927,0.9198,0.02,32,sgd,MLPZero
40,1,41,0.2599,0.2848,0.9271,0.9198,0.02,32,sgd,MLPZero
41,1,42,0.2595,0.2849,0.9272,0.9198,0.02,32,sgd,MLPZero
42,1,43,0.2591,0.285,0.9273,0.9199,0.02,32,sgd,MLPZero
43,1,44,0.2587,0.285,0.9275,0.9198,0.02,32,sgd,MLPZero
44,1,45,0.2583,0.2851,0.9276,0.9198,0.02,32,sgd,MLPZero
45,1,46,0.258,0.2851,0.9276,0.9199,0.02,32,sgd,MLPZero
46,1,47,0.2576,0.2851,0.9277,0.9199,0.02,32,sgd,MLPZero
47,1,48,0.2573,0.2852,0.9278,0.9199,0.02,32,sgd,MLPZero
48,1,49,0.2569,0.2852,0.9279,0.9199,0.02,32,sgd,MLPZero
49,1,50,0.2566,0.2853,0.928,0.9199,0.02,32,sgd,MLPZero
50,1,51,0.2563,0.2854,0.9281,0.9199,0.02,32,sgd,MLPZero
51,1,52,0.256,0.2854,0.9282,0.9199,0.02,32,sgd,MLPZero
