,case,epoch,loss,val_loss,accuracy,val_accuracy,learning_rate,batch_size,optimizer,model
0,1,1,0.4968,0.3806,0.8673,0.8949,0.01,64,sgd,MLPZero
1,1,2,0.4192,0.3629,0.8854,0.8994,0.01,64,sgd,MLPZero
2,1,3,0.3853,0.3511,0.8932,0.9034,0.01,64,sgd,MLPZero
3,1,4,0.3652,0.3432,0.8981,0.9057,0.01,64,sgd,MLPZero
4,1,5,0.3515,0.3371,0.9017,0.9072,0.01,64,sgd,MLPZero
5,1,6,0.3414,0.3325,0.9043,0.9085,0.01,64,sgd,MLPZero
6,1,7,0.3335,0.329,0.9064,0.9093,0.01,64,sgd,MLPZero
7,1,8,0.3272,0.3262,0.9081,0.9101,0.01,64,sgd,MLPZero
8,1,9,0.3218,0.3237,0.9095,0.9107,0.01,64,sgd,MLPZero
9,1,10,0.3174,0.3213,0.9107,0.9114,0.01,64,sgd,MLPZero
10,1,11,0.3135,0.3193,0.9118,0.9119,0.01,64,sgd,MLPZero
11,1,12,0.31,0.3176,0.9127,0.9124,0.01,64,sgd,MLPZero
12,1,13,0.307,0.316,0.9135,0.9127,0.01,64,sgd,MLPZero
13,1,14,0.3043,0.3146,0.9143,0.9131,0.01,64,sgd,MLPZero
14,1,15,0.3018,0.3133,0.915,0.9134,0.01,64,sgd,MLPZero
15,1,16,0.2996,0.312,0.9157,0.9138,0.01,64,sgd,MLPZero
16,1,17,0.2976,0.3109,0.9163,0.9141,0.01,64,sgd,MLPZero
17,1,18,0.2957,0.3099,0.9169,0.9144,0.01,64,sgd,MLPZero
18,1,19,0.2939,0.3091,0.9174,0.9146,0.01,64,sgd,MLPZero
19,1,20,0.2923,0.3083,0.9179,0.9148,0.01,64,sgd,MLPZero
20,1,21,0.2907,0.3075,0.9183,0.915,0.01,64,sgd,MLPZero
21,1,22,0.2893,0.3068,0.9188,0.9152,0.01,64,sgd,MLPZero
22,1,23,0.288,0.3061,0.9192,0.9154,0.01,64,sgd,MLPZero
23,1,24,0.2867,0.3055,0.9196,0.9155,0.01,64,sgd,MLPZero
24,1,25,0.2856,0.3049,0.9199,0.9157,0.01,64,sgd,MLPZero
25,1,26,0.2844,0.3043,0.9203,0.9159,0.01,64,sgd,MLPZero
26,1,27,0.2834,0.3038,0.9206,0.916,0.01,64,sgd,MLPZero
27,1,28,0.2824,0.3033,0.9209,0.9161,0.01,64,sgd,MLPZero
28,1,29,0.2814,0.3028,0.9212,0.9162,0.01,64,sgd,MLPZero
29,1,30,0.2805,0.3023,0.9215,0.9164,0.01,64,sgd,MLPZero
30,1,31,0.2796,0.3019,0.9217,0.9165,0.01,64,sgd,MLPZero
31,1,32,0.2787,0.3015,0.922,0.9166,0.01,64,sgd,MLPZero
32,1,33,0.2779,0.3011,0.9222,0.9167,0.01,64,sgd,MLPZero
33,1,34,0.2772,0.3007,0.9225,0.9168,0.01,64,sgd,MLPZero
34,1,35,0.2764,0.3003,0.9227,0.9169,0.01,64,sgd,MLPZero
35,1,36,0.2757,0.3,0.923,0.917,0.01,64,sgd,MLPZero
36,1,37,0.275,0.2997,0.9232,0.9171,0.01,64,sgd,MLPZero
37,1,38,0.2743,0.2994,0.9234,0.9171,0.01,64,sgd,MLPZero
38,1,39,0.2737,0.2992,0.9236,0.9172,0.01,64,sgd,MLPZero
39,1,40,0.2731,0.2989,0.9238,0.9173,0.01,64,sgd,MLPZero
40,1,41,0.2724,0.2986,0.9239,0.9174,0.01,64,sgd,MLPZero
